img_a,img_b,method,dcor,dcov,mic_e,tic_e,pearson,mic,tic,corr
img_8_noise_mid,img_8_noise_mid,full,1.0000000000000855,0.21173566582746578,,,,1.0000000000000038,13344.90495974687,0.9999999999999999
img_8_noise_mid,img_8_noise_mid,fast,1.0,1506.626663599226,,,,1.0000000000000002,41.352347384769,1.0
img_8_noise_mid,img_8_noise_high,full,0.11414788643675282,0.030191041190103417,,,,0.00997166158906808,73.18020507703636,0.12895849801491907
img_8_noise_mid,img_8_noise_high,fast,0.9955743593394819,1500.9085352539312,,,,0.9497287326074132,37.33462836500492,0.9961987088076871
img_8_noise_high,img_8_noise_high,full,1.0000000000000568,0.3303896344319879,,,,1.0000000000000038,13344.90495974687,1.0
img_8_noise_high,img_8_noise_high,fast,1.0,1508.535030351829,,,,1.0000000000000002,41.352792223168514,0.9999999999999998
img_9_bw,img_9_bw,full,1.0024850920746968,0.08982572809809634,,,,0.9999999993281916,13346.06085305194,1.0
img_9_bw,img_9_bw,fast,1.0,1114.6680066376698,,,,1.0000000000000002,41.31749441890989,1.0
img_9_bw,img_9_noise_low,full,0.779575049562684,0.07791799776635573,,,,0.4057077762707454,3861.515945223901,0.8395669458582036
img_9_bw,img_9_noise_low,fast,0.8960938038897474,1125.642217282987,,,,0.7432120593158786,27.143435073990148,0.8732396699074116
img_9_bw,img_9_noise_mid,full,0.40422341301044074,0.05588565802853922,,,,0.10144761754290213,840.5531077633023,0.4585622545885636
img_9_bw,img_9_noise_mid,fast,0.8858874136422434,1158.387806509052,,,,0.7978625392411748,28.374364736238636,0.8361719234225503
img_9_bw,img_9_noise_high,full,0.26098805242745177,0.0449762442300016,,,,0.04295448726626065,340.70532780970115,0.2966000173492779
img_9_bw,img_9_noise_high,fast,0.8937171074856503,1142.0288774867345,,,,0.781849992463073,28.565459254551605,0.8446680497748216
img_9_noise_low,img_9_noise_low,full,1.000000000000044,0.11149024838376372,,,,1.0000000000000038,13344.90495974687,1.0
img_9_noise_low,img_9_noise_low,fast,1.0,1415.6251218734158,,,,1.0000000000000002,41.32011362409147,1.0
img_9_noise_low,img_9_noise_mid,full,0.332784665900222,0.051321488126867404,,,,0.07049112744683317,579.8537585110365,0.3852450741815851
img_9_noise_low,img_9_noise_mid,fast,0.9789933792935849,1442.635327974738,,,,0.9169484203023259,35.94383156998512,0.9782273486624669
img_9_noise_low,img_9_noise_high,full,0.21461028269492316,0.04125438493392343,,,,0.03077381969561578,240.08059681897555,0.24858051169256584
img_9_noise_low,img_9_noise_high,fast,0.9839331666555958,1416.9155842918221,,,,0.9462060682852529,37.22645621572031,0.98281158094671
img_9_noise_mid,img_9_noise_mid,full,1.000000000000166,0.21332167511369524,,,,1.0000000000000038,13344.90495974687,1.0
img_9_noise_mid,img_9_noise_mid,fast,1.0,1533.9293447345904,,,,1.0000000000000002,41.376958791018744,1.0
img_9_noise_mid,img_9_noise_high,full,0.11690308144602504,0.031084551098192525,,,,0.01031610049924142,77.64632149860057,0.1346296346439992
img_9_noise_mid,img_9_noise_high,fast,0.9977666852095821,1495.6704840853047,,,,0.9773433438257546,39.66439489380809,0.9976077261506744
img_9_noise_high,img_9_noise_high,full,1.0000000000000084,0.33143799788182876,,,,1.0000000000000038,13344.90495974687,1.0
img_9_noise_high,img_9_noise_high,fast,1.0,1464.901732764863,,,,1.0000000000000002,41.336288595634215,1.0
img_10_bw,img_10_bw,full,1.0007331999209268,0.11172231742972581,,,,0.9999999972448516,13349.907979179598,0.9999999999999998
img_10_bw,img_10_bw,fast,1.0,1139.261941902661,,,,1.0000000000000002,41.314453132914664,1.0
img_10_bw,img_10_noise_low,full,0.8287617866617956,0.09730582607221001,,,,0.5434359240426306,4411.861994636418,0.8530589435612527
img_10_bw,img_10_noise_low,fast,0.7033489082884768,876.7099881992059,,,,0.56078768296902,20.644046986143902,0.6690091797069726
img_10_bw,img_10_noise_mid,full,0.43864783515697336,0.06821461643635288,,,,0.13505779659711095,981.781039680335,0.47860256140413504
img_10_bw,img_10_noise_mid,fast,0.5003777558057246,645.034196522289,,,,0.39236102501892156,13.612193945344444,0.5118128612027952
img_10_bw,img_10_noise_high,full,0.2783454946536376,0.05363658613223067,,,,0.05505271163898372,388.48763971792505,0.3083850220039721
img_10_bw,img_10_noise_high,fast,0.45405216432966267,599.2852767046978,,,,0.3795861975356268,12.47025290015181,0.4700664572718996
img_10_noise_low,img_10_noise_low,full,1.000000000000079,0.12348000097888447,,,,1.0000000000000038,13344.90495974687,0.9999999999999999
img_10_noise_low,img_10_noise_low,fast,1.0,1363.7874318400613,,,,1.0000000000000002,41.32478586030889,1.0
img_10_noise_low,img_10_noise_mid,full,0.3760586649265646,0.061504168201900966,,,,0.10195784834159435,728.8476025917796,0.408732976590947
img_10_noise_low,img_10_noise_mid,fast,0.8435229799112175,1189.7157472248427,,,,0.6929069925451949,25.705502137626876,0.8714167323959712
img_10_noise_low,img_10_noise_high,full,0.24128416777741407,0.04889824319695892,,,,0.043080127091201036,299.4528430817523,0.2650005728903051
img_10_noise_low,img_10_noise_high,fast,0.7866175624053258,1135.9338553275534,,,,0.6665096886933378,23.51022560396887,0.8163972253877059
img_10_noise_mid,img_10_noise_mid,full,0.9999999999999988,0.21662135829562815,,,,1.0000000000000038,13344.90495974687,0.9999999999999997
