img_a,img_b,method,dcor,dcov,mic_e,tic_e,pearson,img
img_5_noise_low,img_5_noise_low,hist,1.0,1062.1878591632983,1.0000000000000002,41.31890990619382,1.0,5
img_5_noise_low,img_5_noise_mid,full,0.5477605091456704,0.1126400247944227,0.2159292741391286,1557.5317613704249,0.5713420343715669,5
img_5_noise_low,img_5_noise_mid,hist,0.8488605588153167,1046.0595007831678,0.9936507116910404,37.75192416106444,0.8165626108907786,5
img_5_noise_low,img_5_noise_high,full,0.3708691405518667,0.0913676273794804,0.0974265709436692,678.4401072886899,0.3937538973531436,5
img_5_noise_low,img_5_noise_high,hist,0.8610107442189263,1067.1250204207347,0.9517770194406904,35.2341846941448,0.8334432020856598,5
img_5_noise_mid,img_5_noise_mid,full,1.0000000000000266,0.2438869291883883,1.0000000000000038,13344.90495974687,0.9999999999999998,5
img_5_noise_mid,img_5_noise_mid,hist,1.0,1429.6796424420825,1.0000000000000002,41.33220472772672,1.0,5
img_5_noise_mid,img_5_noise_high,full,0.2452712559790387,0.0716646214449034,0.0418160326790797,303.6038459499909,0.263532784730075,5
img_5_noise_mid,img_5_noise_high,hist,0.993939383549896,1429.174738521457,0.9220432114690502,36.07186739451764,0.995388766533612,5
img_5_noise_high,img_5_noise_high,full,1.0000000000000784,0.3500481500152935,1.0000000000000038,13344.90495974687,1.0,5
img_5_noise_high,img_5_noise_high,hist,1.0,1446.145966488322,1.0000000000000002,41.34374593224586,1.0,5
img_6_bw,img_6_bw,full,0.9952533128894158,0.0952174451802506,0.9999997312770904,13347.98964663558,0.9999999999999996,6
img_6_bw,img_6_bw,hist,1.0,1124.5182704109222,1.0000000000000002,41.32732855861552,1.0,6
img_6_bw,img_6_noise_low,full,0.7887639148446502,0.0820319778257415,0.4640440858845068,3878.726908093832,0.8235082029647802,6
img_6_bw,img_6_noise_low,hist,0.8364199996642222,1049.0889029866194,0.6581050704084462,25.061109336416635,0.8083753753857275,6
img_6_bw,img_6_noise_mid,full,0.3942177098388046,0.0560015027030097,0.1038379302660521,785.7751350267245,0.4345548266942036,6
img_6_bw,img_6_noise_mid,hist,0.7422236346766974,957.6194078643068,0.5589867396520941,19.664633095343333,0.7473235819393473,6
img_6_bw,img_6_noise_high,full,0.2471845252694409,0.0438846932940042,0.0419173295561029,312.1477313045076,0.2788433124988367,6
img_6_bw,img_6_noise_high,hist,0.7819067648843019,1006.5587680958204,0.5841668583292088,21.59384790955668,0.7710112285129024,6
img_6_noise_low,img_6_noise_low,full,0.9999999999999212,0.1130549038658423,1.0000000000000038,13344.90495974687,1.0,6
img_6_noise_low,img_6_noise_low,hist,1.0,1398.972743219189,1.0000000000000002,41.33007577002785,1.0,6
img_6_noise_low,img_6_noise_mid,full,0.3256778909045303,0.0502927152254183,0.0712851352411306,530.4176290559261,0.3570743571143355,6
img_6_noise_low,img_6_noise_mid,hist,0.953043819576036,1371.4892175926138,0.8019886105925368,31.18399579346922,0.9642448373822932,6
img_6_noise_low,img_6_noise_high,full,0.2080339693908561,0.0401494222937068,0.0298009839551886,217.63870306190967,0.2301108666229428,6
img_6_noise_low,img_6_noise_high,hist,0.984688957574777,1413.8541209344785,0.9042689347855092,34.72854602244762,0.9887612580467386,6
img_6_noise_mid,img_6_noise_mid,full,1.0000000000000642,0.2109328436138745,1.0000000000000038,13344.90495974687,1.0,6
img_6_noise_mid,img_6_noise_mid,hist,1.0,1480.3002194604678,1.0000000000000002,41.349098043359,1.0,6
img_6_noise_mid,img_6_noise_high,full,0.1079456819021397,0.0284562534498196,0.009115222009706,66.24581548247161,0.1208997009850774,6
